Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt
53028,17,1719672048.1681147,0.028045177459716797,0,2,0,2584,0.0,0.0,1292,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.1731477,0.03307819366455078,0,3,0,2934,0.0,0.0,350,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.1731477,0.03307819366455078,0,4,0,3606,0.0,0.0,350,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.1783972,0.038327693939208984,0,5,0,3673,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2142475,0.12612056732177734,0,4,0,3993,0.0,0.0,117,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2179961,0.1298692226409912,0,5,0,4114,0.0,0.0,117,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2179961,0.1298692226409912,0,6,0,4187,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2179961,0.1298692226409912,0,7,0,5475,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2230186,0.13489174842834473,0,8,0,6763,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2230186,0.13489174842834473,0,9,0,8055,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672048.228256,0.14012908935546875,0,10,0,9105,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.23028,0.0902104377746582,0,6,0,3835,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.2402186,0.10014915466308594,0,7,0,3902,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.2433946,0.10332512855529785,0,8,0,3973,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.2482896,0.10802507400512695,0,9,0,4040,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2482896,0.16016268730163574,0,11,0,9179,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.2482896,0.10822010040283203,0,10,0,4108,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.268442,0.1283724308013916,0,11,0,4995,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.278635,0.1385655403137207,0,12,0,5255,0.0,0.0,67,1292,0,0,0,0,0,0,0,0
443,17,1719672048.278635,0.19050812721252441,0,12,0,9256,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
443,17,1719672048.2939065,1.8910062313079834,0,20,0,6157,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
443,17,1719672048.3097417,0.22161483764648438,0,13,0,9330,0.0,0.0,73,1292,0,0,0,0,0,0,0,0
60861,17,1719672048.32841,1.9402928352355957,0,22,0,5530,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
53028,17,1719672048.32841,0.188340425491333,0,13,0,5321,0.0,0.0,66,1292,0,0,0,0,0,0,0,0
443,17,1719672048.7448387,2.3419384956359863,0,21,0,6228,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672048.7782114,2.39009428024292,0,23,0,5597,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,6,1719672048.9143977,0.0,1,0,55,0,0,0,55,55,0,0,0,0,1,0,0,0
52197,6,1719672048.9608595,0.0,1,0,66,0,0,0,66,66,0,0,0,0,1,0,0,0
443,17,1719672049.58808,3.1851797103881836,0,22,0,6299,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672049.6183367,3.230219602584839,0,24,0,5664,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
443,6,1719672049.9808185,0.0,1,0,55,0,0,0,55,55,0,0,0,0,1,0,0,0
52075,6,1719672050.0280433,0.0,1,0,66,0,0,0,66,66,0,0,0,0,1,0,0,0
443,6,1719672050.0611298,0.0,1,0,55,0,0,0,55,55,0,0,0,0,1,0,0,0
52076,6,1719672050.1092954,0.0,1,0,66,0,0,0,66,66,0,0,0,0,1,0,0,0
443,6,1719672051.0451534,4.754048824310303,3,0,205,0,43.1211389651095,0.6310410580259926,54,97,0,0,0,1,3,0,0,0
52192,6,1719672051.0780678,4.827468395233154,3,0,412,0,85.34493988750421,0.6214437370449336,54,179,0,0,0,2,3,0,0,0
52192,6,1719672051.1080692,4.857469797134399,4,0,506,0,104.16945881959123,0.8234739827635671,54,179,0,0,0,3,4,0,0,0
443,6,1719672051.148895,4.857790470123291,4,0,259,0,53.31642062228068,0.8234196235101263,54,97,0,0,0,1,4,0,0,0
443,17,1719672051.2286458,4.825745582580566,0,23,0,6370,0.0,0.0,71,1292,0,0,0,0,0,0,0,0
60861,17,1719672051.2603672,4.872250080108643,0,25,0,5731,0.0,0.0,63,1292,0,0,0,0,0,0,0,0
5222,6,1719672052.4182737,5.200268268585205,3,0,304,0,58.45852257977968,0.5768933149320363,54,126,0,0,0,2,3,0,0,0
53561,6,1719672052.4302626,5.255360126495361,3,0,444,0,84.485171199122,0.5708457513454188,56,332,0,0,0,1,3,0,0,0
53561,6,1719672052.5782292,5.403326749801636,4,0,570,0,105.49056653309474,0.7402846774252262,56,332,0,0,0,2,4,0,0,0
5222,6,1719672052.637836,5.419830560684204,4,0,358,0,66.0537254793452,0.7380304522831866,54,126,0,0,0,2,4,0,0,0
