Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Min,Pkt Len Max,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Prediction
54415,17,1718887636.02324,0.0523304939270019,0,84,0,107402,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.023799,0.052889347076416,0,85,0,108694,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.023799,0.052889347076416,0,86,0,109986,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.02441,0.0535004138946533,0,87,0,111278,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.024506,0.0535964965820312,0,88,0,112570,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.024506,0.0535964965820312,0,89,0,113862,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.024506,0.0535964965820312,0,90,0,115154,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0255675,0.0546579360961914,0,91,0,116446,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0258694,0.0549597740173339,0,92,0,117738,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0258694,0.0549597740173339,0,93,0,119030,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.026492,0.0555822849273681,0,94,0,120322,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.026492,0.0555822849273681,0,95,0,121614,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.026492,0.0555822849273681,0,96,0,122906,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0276484,0.0567388534545898,0,97,0,124198,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0276484,0.0567388534545898,0,98,0,125490,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
54415,17,1718887636.0276484,0.0567388534545898,0,99,0,126782,0.0,0.0,171,1292,0,0,0,0,0,0,0,0,Benign
